,code,signal_id,phase,target,label
362,al aj ak ak am al aj al ak ak ak ak aj am aj al ai am ak ak am ak am aj ak am ak aj al ak am ai al al ak al ai an aj al ak am al al aj am am al am al an ak am am al am al am am ak al am al an ai an aj am al ak am aj al al al al ak am am aj am ak am ak ak am ak am aj al al ak ak al ak am ak aj al aj ak al al al aj aj al ak am aj an ak aj am aj am ak ak am ak al aj al am ak an al am al aj an ak an al al an ak ak al al am al am an ak al al am am am al an aj am al am am ak am ak an al ak am ak al am ak an ai al al ak am aj an ak ak al ak am ak aj am ak al aj al an ak al ak am ak ak al an al ak ak aj am aj an al al al aj,362,2,0,Não
73,bt ca ce ci ca bu ca ca cc cd cc ca cd cc cb cc ca cb cc bu cc ce cc cc cc ca cb ce cb ce cd ca ca cb cc cc ce ca ca cc cc cb ca bt cd cf cc ca bt bu cb ce cb ca ca cb cd cd bu cc cb cc cc cc ca cb cc bt cc cd cc cc cb ca cb cc cb cd cc ca ca cb bt cd cb bu cb ce ce cb ca br cc ce cd cb bu bu cd cd cb cb cb cc cb ca br cb cb cb cb cb cb cb cc bu ca ca cb cd ce cb cb ca cb cc cc ca ca cc bu cd cb bu cb ce cd bu bt bt cb cc cb ca ca cb cf cb bu bu bu cc cc cd bt ca ca cb cc cb ca cd cb bu ca ca cb cd cc bu cc bu ca cb cb bu ca cc ca cb bu bt bu cd cc ce bu bs cb cc cb cb cb bt cd cb bt bt cb cc cd ca bu cb ca cb ca ca,73,1,0,Não
375,ae ag ah aj ag aj aj ag ag ah ah af ah ah aj ah ah ai ah ah af af ai af ak ah ah aj ah aj ag aj ai ag ae af al aj ah ag aj ag af aj ag ah ah ah ak ag aj ah ag ah af ai ah ah ah ah ai aj ai ag ag ag ai ag ag ai aj ak ai ai ak ag af ag ai aj ah ag ai ah ai ah ag aj ah ah ah ag aj ai ai aj ag aj ah ah ah ag ah ah ak aj ai ag ai ah af ag ai am ai af al ah ai ag aj ak af aj ag ah ai al am ai ah ai aj ag aj ak ah ah aj al ai ag aj ag ah ah aj al af ah ai ai ah ah ah aj aj ah ag ah al ak ai ah ah aj ah af ai ak ai ah aj ak ag ai aj ah ah aj aj ak ah ag aj ah ah ah ah ai ah aj ag af aj aj ah ag ai ah ah ag ak al ai ag af ah,375,0,0,Não
155,bn bn bn bn bm bn bp bm bn bl bn bo bm bm bn bm bn bm bm bm bm bo bm bn bn bn bn bn bn bm bm bm bn bm bm bn bn bo bm bm bm bn bo bn bm bo bo bm bn bn bp bo bn bm bn bn bn bn bn bm bm bm bm bm bn bn bn bo bm bm bo bn bn bn bn bo bm bn bm bp bo bm bn bn bn bo bm bn bm bm bo bo bm bn bn bm bm bm bn bn bn bm bn bm bn bn bn bn bm bn bp bo bm bm bp bn bn bn bo bp bn bm bo bp bo bn bm bo bo bo bn bn bn bn bn bp bn bm bm bp bp bn bn bo bp bo bm bo bp bm bn bm bp bo bo bn bn bn bp bo bm bo bo bq bn bn bo bp bn bp bn bm bn bp bq bo bm bn bp bp bn bm bp bp bo bn bq bq br bn bn bo bq bn bm bm bp bp bo bn bn bn bo bp bn bn bm bq,155,2,0,Não
104,bq br br bq bq br bp bs bs br bq br bp bq bs br br bq br bs bq bq bp bq bq bp bq br br bq bs bp bq br bq bq bq bp br bs bq bs br bp bq bq bp br bs bp br br bq bs bq bp bq bq bq bq br br bq bq bq bq bp br br bq bq bq bs br bq bq bq bp bq br bq br br bq br br br bs bq bo br br br bs br bo br bq bq br bp bq bq bq br bt br bp bp bq br br br br bq br br br bs br bq bq br br bs br bq br bp br bs bp br br bq br bs bq br bq bq bq br br bq bs bq br br br bq bq br br br br br bs bs bs bq bs bq bs bs br br br br br br br br br bo bq bs bq bs br bq br bs br br bs bq br br bs bs bq bq bq bs bs bs br bq bq bs bt bq bs br bq bq br,104,2,0,Não
395,bt ca ca bu bt bt bt bu bu bu bt bt bt bu ca bt ca bt bt bt cb bu bt bs bt bu bt bu cb bu br ca ca bt bs bt bt bt bs bu cb bs br bt ca bu bu bs bu bs bs bu ca bt br bt bu bu bt bt bu bt br bs ca ca bt bs ca bu bu bt ca bu bs bs ca ca bs bt bu ca bt bs bt ca br br bt bt bt bs bu bt bu bq bu bu bs br bu bt bt bs bu ca bt br bt ca br bt bt bu bu bs bt ca bu br bs bu bu bs bs bs bu bs bs bt bu bs br bu bt bs br bt bu br br ca ca br bs bu bu bs bt br bu bs bs bt bt bs bu bu bs bs bs bs bt bs bs bu br bt bt bs bt bt bs bq bs bt bu bs br br bs bt bt bt bs br br bt bt bu bs bs bs bt bu bu bu br br bt bu bt bs bs bu br bt bt,395,2,0,Não
378,be bf be bf be bd be bf be be bd bd be bg be bc bb bc bf be bb be bd ba bc bg bd bd be ba bf bd bd bf be ba be be be be bc bb be be bc be bc bd bb bb bc bf bc au bc bc bb bc bd ba bb bb bd bb bc bd ba ba bd bf at bb be bd ba bc bd bd bb ba be bc au bb be ba bb au bb ba ba ba bc ba bb bd at au bc bd au ba ba bb ba bc bb ba ba bc bc bb be ba at be bf ba bb bc ba ba ba ba bd ba ar bc bb ba au au bb ba as ba bd au au bc ba bb bc ba ba bb au ba bd bc bb bc bb ba bc bc bb bb ba bb bb ba ba bb ar bb bc bb au au ba bb bb ba bc ba ba ba ba au bd au bc bc bb bb bb bc ba ba ba bd bc bc ba bb ba bb bc bb bb au bb bb bb ba bf au,378,0,0,Não
124,aj aj ak ak al aj aj ak ak ak ak aj al aj aj al ak aj ak aj aj ak al aj aj ak ak aj aj ak ak aj aj aj ak ak ak ak aj ak ak ak ak aj aj ak al ak ak aj ak ak ak ak aj aj aj aj ak ak ak aj ai ak aj aj aj ai aj aj aj ak ai ak aj ak aj aj aj aj aj ak aj aj aj aj aj aj al ai aj aj ak ak aj aj aj aj aj aj aj aj aj ak ai aj ak aj ai aj ak aj ah aj ak aj aj aj ak ai ak ak ai aj aj aj aj ai ak aj aj aj aj aj aj aj al ah aj aj aj aj aj aj ak aj aj ak aj aj aj aj ai al aj aj aj aj ak aj aj aj ai aj aj aj aj aj ai aj ak aj aj aj ai ai aj aj aj aj aj aj aj ak ai ai ai aj ai ak aj aj ai aj aj aj aj aj ai aj ai aj ah aj ai aj ai ai,124,1,0,Não
68,bb au bb bb ba bd au ba bb ba be au bf ba ba be ba be bb bd be ba bf bb bb bc bc be bb bd bc bc bb bc bd bc bd bb be bb be bd ba bg au be bc au bh as bh bb bb bg aq bh ba bc bg as bh ar bd bc as bi ar be bb as be as be au au bd as bd ba ba bb ba bc bb bc ba bd ba bc bc bd bc au bf ba bb bf au bf at bd bc at bh at bg bb ba bf as bf bd bc bh au bg bb bc bf bb bf bd bb bf bb bd be bc bf bb bd bd au bg bb bc bf at bf ba bb be at bh at bd bc as bf at be bc ba bf as bf au bb be au bf au bd ba bb bc ba bf ba bc bc bc bd au bg au bd bc ba bg au bh bb bd bg as bh au bf bg au bj as bh bb bb bj as bk bb bd bh at bi ba bf be au,68,2,0,Não
451,bl bk bi bh bl bj bg bj bk bj bi bi bj bl bl bi bj bk bj bj bi bj bm bk bi bk bl bj bh bi bl bl bh bj bl bj bj bl bk bj bi bj bj bl bj bk bj bj bl bk bi bj bl bk bh bk bm bl bj bi bk bk bi bj bk bk bj bi bk bm bl bi bi bk bk bj bk bl bl bi bj bl bl bj bi bj bk bk bj bl bl bj bj bk bi bk bk bi bk bl bk bk bj bk bk bi bi bk bl bh bi bl bm bl bi bj bk bi bk bl bk bj bj bj bl bm bj bi bj bj bk bi bk bl bk bj bi bl bj bi bj bk bl bj bk bl bl bj bk bj bi bk bj bi bl bm bm bj bj bk bl bj bi bl bl bh bk bn bm bh bh bj bl bj bj bl bj bj bj bk bl bk bi bi bj bl bk bj bk bm bl bh bk bm bk bi bi bl bm bj bk bl bl bi bk bj bj bk,451,1,0,Não
